State,Abbr,gas_price,gas_price_rank,EV_rate,EV_rate_rank,Stations,Station_rank,Median_Income,High_Edu_Level_Percent,Teen_Percent,Young_Percent,Middle_Percent,Elderly_Percent,Income_rank
Georgia,GA,3.01,51,0.958,19,1886,8,74632,35.416,13.82,13.751,26.236,21.486,26
Mississippi,MS,3.02,50,0.132,50,163,45,54203,25.537,14.178,11.931,25.401,23.059,51
Texas,TX,3.03,49,0.892,21,3104,4,75780,34.242,14.058,14.361,26.582,19.321,24
Louisiana,LA,3.08,48,0.217,46,265,40,58229,26.992,13.02,12.888,25.181,22.979,49
Alabama,AL,3.09,47,0.269,44,424,30,62212,28.89,13.399,12.617,24.848,23.628,45
South Carolina,SC,3.11,46,0.414,40,559,27,67804,32.916,13.017,12.607,24.684,24.657,41
Arkansas,AR,3.13,45,0.262,45,334,36,58700,26.177,13.635,12.817,24.726,22.716,48
Tennessee,TN,3.14,44,0.508,31,918,20,67631,31.683,12.814,13.73,25.331,23.167,43
Kentucky,KY,3.19,43,0.287,42,328,37,61118,27.846,12.967,13.161,24.87,23.546,47
Delaware,DE,3.2,42,0.918,20,197,44,81361,36.463,12.294,12.11,23.646,26.687,17
Missouri,MO,3.22,40,0.478,34,1240,18,68545,33.225,13.25,13.021,24.54,23.59,40
Ohio,OH,3.22,40,0.488,32,1586,12,67769,32.034,12.815,13.158,24.494,24.091,42
Oklahoma,OK,3.23,39,0.532,29,358,35,62138,28.714,14.234,13.324,24.671,21.417,46
North Carolina,NC,3.24,38,0.773,22,1595,11,70804,36.793,13.413,13.324,25.455,23.183,35
Wisconsin,WI,3.26,37,0.45,35,577,25,74631,33.754,13.28,12.548,24.36,25.137,27
Iowa,IA,3.3,36,0.285,43,371,33,71433,31.55,13.968,12.43,24.159,23.179,34
Florida,FL,3.32,35,1.372,11,3430,3,73311,34.916,11.56,12.448,25.042,25.248,31
Virginia,VA,3.33,34,1.099,16,1562,13,89931,42.425,13.112,13.334,26.088,22.757,12
Indiana,IN,3.36,33,0.423,39,565,26,69477,30.215,13.983,13.011,24.734,22.552,38
Kansas,KS,3.37,30,0.431,37,547,28,70333,35.819,14.448,12.849,24.263,22.227,37
Maryland,MD,3.37,30,1.425,9,1726,9,98678,43.747,12.448,12.817,26.191,23.398,4
Michigan,MI,3.37,30,0.59,28,1447,14,69183,32.676,13.021,13.095,24.148,24.882,39
West Virginia,WV,3.38,29,0.185,47,155,46,55948,23.989,12.664,11.652,24.631,26.112,50
New Jersey,NJ,3.43,27,1.84,6,1299,16,99781,43.776,12.22,12.73,26.181,23.716,3
Minnesota,MN,3.43,27,0.725,24,773,23,85086,39.989,12.807,12.891,25.282,23.21,14
Nebraska,NE,3.45,26,0.35,41,260,42,74590,35.286,14.105,12.849,24.393,21.795,28
New Mexico,NM,3.48,25,0.528,30,278,39,62268,31.648,13.226,13.093,24.404,23.908,44
New Hampshire,NH,3.5,24,0.715,25,261,41,96838,40.748,11.987,12.564,24.844,27.936,5
Rhode Island,RI,3.54,22,0.729,23,317,38,84972,39.047,12.994,14.032,24.587,25.058,15
California,CA,5.39,1,3.41,1,16381,1,95521,37.488,13.166,14.553,26.45,21.412,6
Hawaii,HI,4.77,2,2.37,3,384,31,95322,37.0,11.412,12.943,25.087,23.828,7
Washington,WA,4.76,3,2.231,4,2202,6,94605,40.451,12.083,15.082,26.556,22.028,8
Nevada,NV,4.67,4,1.854,5,596,24,76364,28.721,11.982,14.263,26.542,22.773,23
Oregon,OR,4.42,5,1.68,7,1263,17,80160,37.652,12.032,13.982,26.544,23.615,20
Alaska,AK,4.32,6,0.482,33,65,51,86631,32.235,12.764,15.251,26.222,20.912,13
Arizona,AZ,4.13,7,1.375,10,1198,19,77315,33.515,13.453,13.82,24.292,22.722,21
Idaho,ID,3.93,8,0.43,38,205,43,74942,32.143,14.333,12.944,24.619,22.045,25
Montana,MT,3.88,9,0.45,35,126,47,70804,34.622,12.68,12.768,24.41,25.059,35
Utah,UT,3.81,10,1.3,14,893,21,93421,38.387,16.782,14.822,24.931,16.538,9
New York,NY,3.77,11,1.16,15,3898,2,82095,40.64,12.448,13.971,25.137,23.907,16
Pennsylvania,PA,3.72,12,0.687,26,1712,10,73824,35.343,12.701,12.741,24.567,25.058,29
District of Columbia,DC,3.69,13,2.595,2,369,34,108210,65.944,12.819,21.313,27.39,16.836,1
Colorado,CO,3.66,14,1.656,8,2165,7,92911,46.433,12.894,15.789,27.019,21.329,10
Wyoming,WY,3.66,14,0.168,49,103,48,72415,30.426,12.839,13.091,24.51,24.383,32
North Dakota,ND,3.65,16,0.125,51,98,49,76525,33.552,14.496,14.648,23.416,21.085,22
Vermont,VT,3.65,16,1.315,13,381,32,81211,43.672,12.885,11.765,24.498,27.624,18
Connecticut,CT,3.62,18,1.073,17,865,22,91665,42.904,13.083,12.454,25.187,24.972,11
Illinois,IL,3.62,18,0.992,18,1337,15,80306,38.278,13.104,13.405,25.763,22.991,19
Maine,ME,3.6,20,0.599,27,486,29,73733,36.994,11.277,12.056,24.637,28.446,30
Massachusetts,MA,3.6,20,1.344,12,2965,5,99858,47.782,13.382,13.804,25.317,24.229,2
South Dakota,SD,3.54,22,0.185,47,98,49,71810,33.3,13.457,12.508,23.595,23.669,33
