State,Median_Income,High_Edu_Level_Percent,Teen_Percent,Young_Percent,Middle_Percent,Elderly_Percent,Income_rank
Alabama,62212,28.89,13.399,12.617,24.848,23.628,45
Alaska,86631,32.235,12.764,15.251,26.222,20.912,13
Arizona,77315,33.515,13.453,13.82,24.292,22.722,21
Arkansas,58700,26.177,13.635,12.817,24.726,22.716,48
California,95521,37.488,13.166,14.553,26.45,21.412,6
Colorado,92911,46.433,12.894,15.789,27.019,21.329,10
Connecticut,91665,42.904,13.083,12.454,25.187,24.972,11
Delaware,81361,36.463,12.294,12.11,23.646,26.687,17
District of Columbia,108210,65.944,12.819,21.313,27.39,16.836,1
Florida,73311,34.916,11.56,12.448,25.042,25.248,31
Georgia,74632,35.416,13.82,13.751,26.236,21.486,26
Hawaii,95322,37.0,11.412,12.943,25.087,23.828,7
Idaho,74942,32.143,14.333,12.944,24.619,22.045,25
Illinois,80306,38.278,13.104,13.405,25.763,22.991,19
Indiana,69477,30.215,13.983,13.011,24.734,22.552,38
Iowa,71433,31.55,13.968,12.43,24.159,23.179,34
Kansas,70333,35.819,14.448,12.849,24.263,22.227,37
Kentucky,61118,27.846,12.967,13.161,24.87,23.546,47
Louisiana,58229,26.992,13.02,12.888,25.181,22.979,49
Maine,73733,36.994,11.277,12.056,24.637,28.446,30
Maryland,98678,43.747,12.448,12.817,26.191,23.398,4
Massachusetts,99858,47.782,13.382,13.804,25.317,24.229,2
Michigan,69183,32.676,13.021,13.095,24.148,24.882,39
Minnesota,85086,39.989,12.807,12.891,25.282,23.21,14
Mississippi,54203,25.537,14.178,11.931,25.401,23.059,51
Missouri,68545,33.225,13.25,13.021,24.54,23.59,40
Montana,70804,34.622,12.68,12.768,24.41,25.059,35
Nebraska,74590,35.286,14.105,12.849,24.393,21.795,28
Nevada,76364,28.721,11.982,14.263,26.542,22.773,23
New Hampshire,96838,40.748,11.987,12.564,24.844,27.936,5
New Jersey,99781,43.776,12.22,12.73,26.181,23.716,3
New Mexico,62268,31.648,13.226,13.093,24.404,23.908,44
New York,82095,40.64,12.448,13.971,25.137,23.907,16
North Carolina,70804,36.793,13.413,13.324,25.455,23.183,35
North Dakota,76525,33.552,14.496,14.648,23.416,21.085,22
Ohio,67769,32.034,12.815,13.158,24.494,24.091,42
Oklahoma,62138,28.714,14.234,13.324,24.671,21.417,46
Oregon,80160,37.652,12.032,13.982,26.544,23.615,20
Pennsylvania,73824,35.343,12.701,12.741,24.567,25.058,29
Rhode Island,84972,39.047,12.994,14.032,24.587,25.058,15
South Carolina,67804,32.916,13.017,12.607,24.684,24.657,41
South Dakota,71810,33.3,13.457,12.508,23.595,23.669,33
Tennessee,67631,31.683,12.814,13.73,25.331,23.167,43
Texas,75780,34.242,14.058,14.361,26.582,19.321,24
Utah,93421,38.387,16.782,14.822,24.931,16.538,9
Vermont,81211,43.672,12.885,11.765,24.498,27.624,18
Virginia,89931,42.425,13.112,13.334,26.088,22.757,12
Washington,94605,40.451,12.083,15.082,26.556,22.028,8
West Virginia,55948,23.989,12.664,11.652,24.631,26.112,50
Wisconsin,74631,33.754,13.28,12.548,24.36,25.137,27
Wyoming,72415,30.426,12.839,13.091,24.51,24.383,32
Puerto Rico,25621,30.787,12.799,12.68,24.824,25.533,52
