NAME,B19013_001E,B01003_001E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_011E,B01001_012E,B01001_035E,B01001_036E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,state
Alabama,62212,5108468,3498967,616025,284788,64530,45497,104280,73719,33655,32913,100629,100354,72341,35173,34966,96459,154817,158870,159066,171764,158197,160149,143378,157994,162742,168164,156642,162064,151557,64224,97603,59839,83763,113296,157338,69939,112340,69628,95648,131834,01
Alaska,86631,733406,493892,99091,43218,9328,7570,15969,9221,6090,5860,16458,12497,6193,4413,3529,13384,29917,28745,25410,27778,31003,27244,22807,21297,26889,24995,19068,19010,20716,10356,13701,7453,11435,15124,19255,9684,13019,7794,10017,14815,02
Arizona,77315,7431344,5150254,1051136,481790,110999,82191,154626,103737,51073,52042,155103,144082,98677,44700,50437,145242,261367,271047,244916,249658,245022,236596,212790,218268,230080,230630,211670,220137,200473,94508,133900,85677,115804,175346,212038,97946,141477,89993,132285,209127,04
Arkansas,58700,3067732,2078254,345836,140363,33947,23874,68154,41780,20753,21134,62243,61635,42995,18074,20248,61263,97089,101299,94111,100695,96521,102009,88114,89836,97578,103071,90067,91333,86852,36759,60100,36605,48445,64106,88683,39705,63526,41001,53573,77500,05
California,95521,38965193,26969649,6137666,2704650,737461,530548,805370,533353,251929,261235,778168,766655,509562,244377,243454,736137,1370703,1527270,1321304,1451352,1461909,1336964,1208914,1224771,1361130,1300307,1190835,1221482,1171730,479029,668651,417401,554684,754403,1169632,494002,697745,445584,615457,874824,06
Colorado,92911,5877610,4135123,1170106,549490,114098,86363,118405,77842,42395,35425,122537,107621,74619,30769,32072,116148,233307,249411,215357,229928,244197,213510,181877,184181,213038,203866,174680,172734,158807,66229,108431,62341,89853,125724,158363,71017,111648,67125,97350,136753,08
Connecticut,91665,3617176,2559922,591246,369161,83258,54650,71866,52008,24441,23945,72137,66752,50405,23910,19461,68323,110526,116498,109361,114082,117836,115842,101937,114032,113099,122637,106872,118798,117591,51713,77931,45508,59069,80856,125354,54830,80952,47790,66673,95027,09
Delaware,81361,1031890,731427,153565,83158,14998,14981,20179,13310,7331,4950,19020,18146,13825,6191,6760,17151,28789,33726,29081,33365,29679,33367,25268,29368,33705,31938,28842,31836,31325,14298,21423,13096,18870,29950,34257,15301,25902,16779,21190,32985,10
District of Columbia,108210,678972,482919,129951,113293,50404,24809,8802,7723,3224,4852,14638,8711,10876,3941,4843,19430,30928,36207,38844,38731,30331,25634,18283,17577,33572,24567,18953,17056,15830,7284,7744,4945,7149,10548,16229,5985,10168,6125,7973,14331,11
Florida,73311,22610726,16421870,3550180,1515795,420362,247557,416043,262475,134824,121802,397498,387866,261758,125690,122988,382805,681252,743724,660983,728674,733013,726357,658490,707777,733722,708506,673596,720663,699667,311088,451499,279294,390514,575305,729993,342852,492232,310974,447756,677679,12
