Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Level 1 / Level 2 / DC Fast),Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Alabama,9.0,28.0,34.0,"424 | 1,096",0 | 0 | 0,2.0,25 | 36 | 61,0.0,1230.0
,,,,35 | 704 | 357,,,,,
Alaska,0.0,0.0,0.0,65 | 124,0 | 0 | 0,0.0,1 | 0 | 1,0.0,125.0
,,,,3 | 87 | 34,,,,,
Arizona,77.0,26.0,21.0,"1,198 | 3,506",0 | 0 | 0,5.0,42 | 30 | 72,0.0,3707.0
,,,,"9 | 2,478 | 1,019",,,,,
Arkansas,34.0,14.0,74.0,334 | 833,0 | 0 | 0,0.0,17 | 17 | 34,0.0,989.0
,,,,3 | 709 | 121,,,,,
California,48.0,292.0,369.0,"16,381 | 49,433",57 | 7 | 64,39.0,136 | 119 | 255,597.0,51097.0
,,,,"648 | 38,217 | 10,548",,,,,
Colorado,5.0,25.0,95.0,"2,165 | 5,432",0 | 1 | 1,1.0,28 | 26 | 54,0.0,5613.0
,,,,"90 | 4,414 | 928",,,,,
Connecticut,1.0,13.0,3.0,"865 | 2,547",0 | 0 | 0,0.0,5 | 15 | 20,0.0,2584.0
,,,,"64 | 2,065 | 417",,,,,
Delaware,0.0,3.0,2.0,197 | 523,0 | 1 | 1,0.0,7 | 12 | 19,0.0,548.0
,,,,5 | 321 | 197,,,,,
District of Columbia,9.0,2.0,4.0,"369 | 1,158",0 | 0 | 0,0.0,0 | 6 | 6,0.0,1179.0
,,,,"26 | 1,081 | 51",,,,,
Florida,5.0,64.0,150.0,"3,430 | 9,763",0 | 0 | 0,3.0,74 | 52 | 126,0.0,10111.0
,,,,"364 | 7,235 | 2,164",,,,,
Georgia,3.0,49.0,73.0,"1,886 | 4,994",0 | 0 | 0,3.0,36 | 48 | 84,0.0,5206.0
,,,,"230 | 3,675 | 1,089",,,,,
Hawaii,11.0,0.0,1.0,384 | 860,1 | 1 | 2,0.0,1 | 0 | 1,0.0,875.0
,,,,26 | 766 | 68,,,,,
